item,logprob
aDaneR,-8.016577
aDiniR,-8.692766
aBaReR,-7.639111
aBiRiR,-7.443
anlefatjon,-12.71502
anleRatjon,-11.5963
anlenatjon,-12.22614
anleGatjon,-11.65053
anleDatjon,-13.52154
anlesatjon,-11.52919
anlepatjon,-12.13063
anleBatjon,-11.62206
anlelatjon,-12.34879
anlematjon,-11.92036
agmakaR,-9.461522
aGlakaR,-8.91548
admakaR,-9.771813
afGakaR,-10.33004
asmakaR,-8.703344
asGakaR,-10.33004
aGRakaR,-7.021163
aspakaR,-8.6494
amnakaR,-10.4877
aGaRoDaRja,-10.3616
aGanoDaRja,-11.63724
aGatoDaRja,-11.45835
aGamoDaRja,-10.24925
aDaRoDaRja,-10.9941
aDanoDaRja,-12.38036
aDatoDaRja,-12.29423
aDamoDaRja,-10.67027
aBaRoDaRja,-10.3426
aBanoDaRja,-11.1312
aBeDis,-6.844916
axeDis,-7.89061
aDeDis,-8.21163
aBeDin,-7.90869
aBeDen,-6.741507
aBeDes,-6.206354
aDeDin,-9.275404
aDeDen,-8.108221
aDeDes,-7.573068
aseDin,-7.994129
asepo,-6.670691
aseso,-6.404073
asefo,-8.029827
aseGo,-5.929196
aseYo,-5.818064
aselo,-4.905182
aseBo,-6.630759
asemo,-5.905795
aBepo,-8.979186
aBexol,-10.15272
aDexol,-11.94393
asexol,-10.163
aBesol,-8.395745
aBeGol,-9.437856
aBeYol,-9.847215
aBeBol,-10.17313
aBeBol,-10.17313
aBemol,-8.2173
apexol,-9.763444
apiBoCo,-10.32238
elojatjon,-11.3045
eloCatjon,-12.34805
aBankuRa,-14.02351
aBanduRa,-6.75442
aDankuRa,-15.27267
aDanduRa,-8.003584
aGankuRa,-14.52955
aGanduRa,-7.260464
afisGuRa,-8.703368
afisfuRa,-8.986567
afiskuRa,-8.195926
afispuRa,-8.985802
aseka,-6.618069
asena,-5.96995
aBeRa,-4.677202
aBeka,-7.477714
aReRa,-6.588927
aReka,-7.122219
aDeRa,-5.388826
aDeka,-7.484088
aDena,-6.315661
aYeRa,-6.146713
aBwelta,-8.270856
apwelta,-7.846603
aDwilta,-11.24085
aBjenda,-6.807085
aBjaRDa,-7.463579
aBweRDa,-7.780089
aDjenda,-7.676655
aljeskalante,-11.19881
aljeskaGante,-11.72803
aljeskasante,-11.44482
aljeskaRante,-10.37406
aljeskaDante,-11.24877
aljeskanante,-11.56482
aljeskatante,-11.43424
aljesfalante,-12.50225
aljesfaGante,-12.90301
aljesfasante,-12.86491
aBwelto,-8.543192
apwelto,-8.118938
aDwilto,-11.51319
aswelto,-9.461297
alexajaDa,-10.68062
alexaCaDa,-10.81352
aBakal,-7.057662
aBalal,-7.447335
aBasas,-5.509827
aBikas,-5.646633
aBison,-6.480029
aBilas,-5.323681
aDakal,-7.840462
aDalal,-8.705845
aDasas,-5.814304
aDikas,-5.864397
aDulsaDo,-7.829699
aDulGaDo,-8.076474
aDulDaDo,-11.29248
aDoRsaDo,-7.092192
apuRBaDo,-7.463668
apuRGaDo,-7.296285
apuRsaDo,-8.107664
apuRDaDo,-8.121391
apuRpaDo,-8.715617
apuRlaDo,-7.780351
aBeRGal,-7.887821
aDaRmal,-7.810377
aBeRmal,-7.423588
aBaRmal,-7.15887
apoRmal,-7.371008
apaRmal,-6.922246
aGoRmal,-8.309298
axeRmal,-8.061735
aBoRsal,-8.104002
aBoRxal,-9.357705
aBeRGo,-6.650838
aDaRmo,-7.551558
aBeRmo,-7.164769
aBaRmo,-6.900052
apoRmo,-7.11219
apaRmo,-6.663427
