item,logprob
apaRmal,-5.776025300000001
aGoRmal,-6.5792263
axeRmal,-6.0712273
aBoRsal,-6.0276123
aBoRxal,-7.966296300000001
aBeRGo,-4.7217243
aDaRmo,-6.0892873000000005
aBeRmo,-4.6235793
aBaRmo,-5.488180300000001
apoRmo,-5.016081300000001
apaRmo,-4.8531703
axeRmo,-5.1508023000000005
aBoRso,-4.9025903
aBoRlo,-6.0928953
enlukatjon,-10.627625400000001
enluGatjon,-11.3808354
enluDatjon,-10.201295400000001
enlusatjon,-10.035945400000001
enlulatjon,-10.419705400000002
enlumatjon,-9.803015400000001
enlutatjon,-10.426745400000001
eNgukatjon,-9.7925654
asBunaR,-8.7148573
asDunaR,-8.9501013
aslunaR,-7.9606783000000005
asBunaR,-8.7148573
aDRaRtaR,-8.1048903
afRaRtaR,-7.6000053
akRaRtaR,-8.0042893
aflaRtaR,-6.9476753
aDRense,-5.634339300000001
afRense,-5.2852993
akRense,-5.3601003
aflense,-5.9599203
aplense,-5.7704823
aGRense,-5.3185153000000005
aklense,-6.2249933
atlense,-6.5181413
anloxatjon,-10.4027123
anlokatjon,-10.548842299999999
anloRatjon,-10.3625323
anlonatjon,-10.7568623
anlosatjon,-10.4982723
anlosatjon,-10.4982723
anlopatjon,-11.095992299999999
admipaDo,-8.098978299999999
admifaDo,-8.329961299999999
asmipaDo,-8.7952563
amiGaDa,-5.934671300000001
amisaDa,-6.005107300000001
amiDaDa,-6.1287423
amiRaDa,-6.4486293
aminaDa,-5.292801300000001
amilaDa,-6.2468333000000005
amitaDa,-6.0822243
amesaDa,-6.4079783
akupaR,-4.635858300000001
akusaR,-5.5140883
akuRaR,-5.6766303
akutaR,-5.1112753
akulaR,-4.1730503
akuBaR,-5.3024763
akuBaR,-5.3024763
akumaR,-5.1469263000000005
aGojektaDo,-9.9843923
aGojeptaDo,-10.816252299999999
aGojiltaDo,-11.5468323
aGojiktaDo,-11.197352299999999
aGojaktaDo,-10.085952299999999
elexatia,-7.9955884
elekatia,-7.709604399999999
elefatia,-7.7868284
eleRatia,-7.250747400000001
elenatia,-7.879150399999999
eleDatia,-8.5236414
elesatia,-7.559435399999999
elesatia,-7.559435399999999
elepatia,-7.8841484
amikaDo,-5.5345503
amiBaDo,-6.8773233000000005
amisaDo,-5.8364063
amixaDo,-7.325001300000001
amiDaDo,-5.9595263
amiYaDo,-7.4060093
amipaDo,-7.1522673
amimaDo,-6.7907503
amikaDa,-5.7035933000000005
amiBaDa,-7.0469323
amisaDa,-6.005107300000001
amiDaDa,-6.1287423
amimaDa,-6.9604653
amoDemfa,-7.5707393000000005
amoDensa,-6.5668693000000005
amoDensa,-6.5668693000000005
amoRemfa,-7.0786553
amoRensa,-6.436349300000001
amoRensa,-6.436349300000001
amonemfa,-7.035868300000001
amonensa,-6.6074583
amonensa,-6.6074583
amomemfa,-8.2157213
alesetjon,-8.066214299999999
alemetjon,-7.8715643
aBoseR,-5.2454853
aDoseR,-4.8987863
asoseR,-5.349035300000001
aposeR,-5.0497233
aGoseR,-5.463526300000001
akosoR,-4.8438013
akoGoR,-5.9626863000000005
akoseR,-5.0827643
aDaspaDa,-7.813295300000001
aDaDxaDa,-8.186092299999999
aDalpaDa,-8.049058299999999
aDalBaDa,-7.7092993000000005
apiRGaDa,-7.5936943
apiRsaDa,-8.296186299999999
apiRxaDa,-8.2794603
apiRDaDa,-8.345923299999999
apiRpaDa,-7.8996963
aDaspaDo,-7.6430283
aDalpaDo,-7.8788063
aDalBaDo,-7.5396103000000005
aDaDxaDo,-8.016958299999999
apiRGaDo,-7.4245673000000005
apiRsaDo,-8.1276943
apiRxaDo,-8.110029299999999
apiRDaDo,-8.1766423
apiRpaDo,-7.729438300000001
eBelotasjon,-9.8151454
eBeloBasjon,-10.021385400000002
