item,logprob
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismal,-6.0851913
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBismo,-4.6345143
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRasjon,-10.628932299999999
aBxuRaR,-9.4087923
aBxuRaR,-9.4087923
aBxuRaR,-9.4087923
aBxuRaR,-9.4087923
aBlandaR,-6.8415203
aBlandaR,-6.8415203
aBlandaR,-6.8415203
aBlandaR,-6.8415203
aBlande,-5.4778973
aBlande,-5.4778973
aBlande,-5.4778973
aBlande,-5.4778973
aBlande,-5.4778973
aBlande,-5.4778973
aBlande,-5.4778973
aBlande,-5.4778973
abneGasjon,-11.7004723
abneGasjon,-11.7004723
abneGasjon,-11.7004723
abneGasjon,-11.7004723
abneGasjon,-11.7004723
abneGasjon,-11.7004723
abneGasjon,-11.7004723
abneGaDo,-10.3720923
abneGaDo,-10.3720923
abneGaDo,-10.3720923
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaDo,-5.946369300000001
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBokaR,-4.9965663000000005
aBoCoRnaDo,-9.7370323
aBoCoRnaDo,-9.7370323
aBoCoRnaDo,-9.7370323
aBoCoRnaDo,-9.7370323
aBoCoRnaDo,-9.7370323
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGasia,-8.4100773
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDa,-7.0208743
aBoGaDo,-6.8517383
aBoGaDo,-6.8517383
aBoGaDo,-6.8517383
aBoGaDo,-6.8517383
aBoGaDo,-6.8517383
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
aBoleNgo,-7.3248913
