word,word_shape,word_phono,length,frequency_bin,real_wbps,real_mbps,real_wbos,real_mbos,nonword1,nonword1_phono,nonword1_wbps,nonword1_mbps,nonword1_wbos,nonword1_mbos,nonword2,nonword2_phono,nonword2_wbps,nonword2_mbps,nonword2_wbos,nonword2_mbos,nonword3,nonword3_phono,nonword3_wbps,nonword3_mbps,nonword3_wbos,nonword3_mbos
atenazar,VCVCVCVC,atenasaR,8,<10,-0.946967111111111,-0.9574758,-0.9359107777777778,-0.9892947666666668,amicalar,amikalaR,-0.9477614444444444,-0.8883746888888889,-0.9365676666666668,-0.8902137666666667,amicamar,amikamaR,-0.9452298888888888,-0.8683698,-0.9383746666666668,-0.8707644333333333,amicapar,amikapaR,-0.9136187777777778,-0.8268213555555557,-0.907498,-0.8358465444444446
atención,VCVCCVVC,atensjon,8,>100,-0.6781847777777777,-0.7406743555555556,-0.6946552222222222,-0.7400883222222222,amarsión,amaRsjon,-0.7887595555555555,-0.8400724666666667,-0.8695445555555555,-0.8984212111111112,,,,,,,,,,,,
atender,VCVCCVC,atendeR,7,10-100,-0.989779875,-0.9126399,-0.9581985,-0.9076064875,atancir,atansiR,-0.999344625,-0.9564784,-1.00716125,-0.9617739875,atansir,atansiR,-0.999344625,-0.9564784,-1.09777625,-1.0527162375,acanser,akanseR,-0.953165,-0.90427415,-1.051468625,-0.9893532375
ateneo,VCVCVV,ateneo,6,<10,-0.976159,-0.9254801714285714,-0.978319,-0.9281441285714286,amitea,amitea,-1.1148725714285714,-0.9176796000000002,-1.0954334285714284,-0.9163977,acitea,asitea,-1.1217878571428572,-0.9155136,-1.0129315714285714,-0.9041009857142858,amirea,amiRea,-1.1255244285714283,-0.9809876,-1.1042012857142858,-0.9519545571428571
atentado,VCVCCVCV,atentaDo,8,10-100,-0.6930257777777777,-0.8250201333333335,-0.6972342222222223,-0.8061506555555555,amistada,amistaDa,-0.8349845555555555,-0.8564303555555556,-0.8152025555555555,-0.8244091,aminsada,aminsaDa,-0.836701,-0.8603628,-0.8822035555555555,-0.9007164333333334,amiscado,amiskaDo,-0.8819971111111111,-0.8540998,-0.8683707777777778,-0.8543536555555555
atentar,VCVCCVC,atentaR,7,<10,-0.764191125,-0.8465384,-0.769021875,-0.8548568625,abistar,aBistaR,-0.79480525,-0.8423810249999999,-0.9051555,-0.9115173625000002,acartar,akaRtaR,-0.8090575,-0.88217715,-0.832520125,-0.8926522375000001,apistar,apistaR,-0.8302825,-0.901585275,-0.820447125,-0.8729859875
atento,VCVCCV,atento,6,<10,-0.7892105714285714,-0.7949311714285715,-0.7915714285714286,-0.7941435571428572,alisto,alisto,-0.7869182857142858,-0.7840698857142857,-0.8583542857142856,-0.8277718428571429,abisto,aBisto,-0.858036,-0.7988234571428572,-0.9853591428571428,-0.8744909857142857,avisto,aBisto,-0.858036,-0.7988234571428572,-0.8478518571428572,-0.8094321285714285
atenuar,VCVCVVC,atenwaR,7,<10,-0.98602375,-0.9911474,-0.999403875,-1.0042996125,acecuas,asekwas,-0.994274375,-1.043887025,-1.05488775,-1.1479778625,acecual,asekwal,-1.041695875,-0.8656999000000001,-1.100479875,-0.9047553625,acetuas,asetwas,-1.09273075,-1.151814275,-1.065762625,-1.1797591125
aterrada,VCVCCVCV,ateraDa,7,<10,-0.80285025,-0.8340045250000001,-0.798403,-0.8440243222222222,amillado,amijaDo,-0.847348,-0.8636150250000001,-0.781621,-0.7735038777777778,,,,,,,,,,,,
atesorar,VCVCVCVC,atesoRaR,8,<10,-0.9895514444444444,-1.0155893555555555,-0.995708,-1.0145925444444446,amaberar,amaBeRaR,-0.9839441111111112,-1.0310793555555555,-1.044336222222222,-1.026180322222222,amabocar,amaBokaR,-1.0128585555555556,-1.0047210222222225,-1.0796766666666668,-1.0050178777777778,amagonar,amaGonaR,-1.0290066666666666,-0.9565263555555557,-0.9769921111111112,-0.9372174333333332
atestado,VCVCCVCV,atestaDo,8,<10,-0.7384881111111111,-0.8625271333333333,-0.736376888888889,-0.8487929888888889,amirlado,amiRlaDo,-0.836859,-0.9869864666666668,-0.827503,-1.026055877777778,amirmado,amiRmaDo,-0.8849444444444444,-0.9440215777777776,-0.8793365555555556,-0.9533603222222222,amirtada,amiRtaDa,-0.9109745555555556,-0.9963809111111112,-0.908417111111111,-0.9706488777777778
atezado,VCVCVCV,atesaDo,7,<10,-0.787838625,-0.88280365,-0.8769865,-0.9335604875,amigada,amiGaDa,-0.889106375,-0.862464525,-0.91788625,-0.9035519875,,,,,,,,,,,,
